record_id,medical_system,research_category,title,authors,journal_raw,journal_name,publication_year,publication_date,volume,issue,pages,institution,corresponding_address,disease,keywords,abstract,full_paper_url,pdf_status,pdf_filename,visits,downloads,source_url,record_url,scraped_at,status
2015,,,"REVERSAL OF PARAKERATOSIS, A FEATURE OF PSORIASIS BY WRIGHTIA TINCTORIA (IN EMULSION) - HISTOLOGICAL EVALUATION BASED ON MOUSE TAIL TEST","S K Mitra, S J Seshadri, M V Venkataranganna, S Gopumadhavan",Indian Journal of Dermatology | Year: 1998 | Volume: 43 | Issue: 3 | Page: 102 -104,Indian Journal of Dermatology,1998,1998,43,3,102 -104,"R&D Centre, The Himalaya Drug Co., Makali, Bangalore 562 123.","Dr. S. K. Mitra. R&D Centre, The Himalaya Drug Co., Makali, Bnngalore 562 123.",PSORIASIS(ICPC-S91|ICD-L40),"Wrightia tinctoria, Psoriasis, Orthokeratosis, Parakeratosis","An experimental histological evaluation on reversal of parakeratosis to orthokeratosis based on mouse tail test, was conducted. Wrightia tinctoria (in emulsion) when applied to mouse tail, showed nearly 90 % reversal of parakeratosis to orthokeratosis, when compared with treatments using retinoids and betamethasone.",http://www.e-ijd.org/downloadpdf.asp?issn=0019-5154;year=1998;volume=43;issue=3;spage=102;epage=104;aulast=Mitra;type=2,pending,,140,30,https://ayushportal.nic.in/,https://ayushportal.nic.in/ShowDefault.aspx?IDD=2015,2026-09-15T08:44:11.534953+00:00,valid
2024,Ayurveda,,LITHOTRIPTIC ACTIVITY OF SWADAMSTRADI KWATHA & SWADAMSTRADI GHANA VATI AN EXPERIMENTAL EVALUATION,"1. Galib, 2. B.S. Behera, 3. A.C.Kar.",Journal of Drug Research in Ayurveda and Siddha | Year: 2006 | Volume: 27 | Issue: 3-4 | Page: 8-18,Journal of Drug Research in Ayurveda and Siddha,2006,2006,27,3-4,8-18,"1. Research Officer (Ay.) 2. Research Officer (Ay.) 3. Asst. Director (Ay.), Central Council for Research in Ayruveda & Siddha, Janakpuri, New Delhi- 110058.",,"URINARY CALCULUS(ICPC-U95|ICD-N20, N21, N22)","Urolithaisis, lithnotriptic, Swadamstradi kvatha,ashmari","Urolithiasis is still a mysterious disease even after extensive research in Urology. Sophisticated instruments, investigations etc. have failed to trace out the exact cause and mechanism of urolithiasis. But few researches conducted in recent times revealed various factors, which are responsible in manifesting this condition. The treatment for this condition in modern medicine is not only expensive but also not easily affordable to the needy poor. Actually, there are no satisfactory drugs in modern medicine, which can dissolve the stone and the physicians depend on alternative systems of medicine for better relief. Mentioning of this disease can be traced back to the dawn of the history. In Ayurveda, this condition is described as Ashmari and is considered as most dreadful disease. Fortunately, this system holds a number of herbal, herbo mineral compounds, which are effective, safe and economical too. One of such compound, Swadamstradi kwatha mentioned by Chakradatta, Ashmari Chikitsa 32/27, was selected for the present study to scrutinize its actual therapeutic value in case of Urolithiasis. The study conducted in experimental animals has given encouraging results.",,unavailable,,1919,337,https://ayushportal.nic.in/,https://ayushportal.nic.in/ShowDefault.aspx?IDD=2024,2026-09-15T08:44:16.851850+00:00,valid
2025,,,DIET AND DERMATOLOGY. THE ROLE OF DIETARY MANIPULATION IN THE PREVENTION AND TREATMENT OF CUTANEOUS DISORDERS.,"Rackett SC, Rothe MJ, Grant-Kels JM.",Journal of the American Academy of Dermatology | Year: 1993 | Volume: 29 | Issue: 3 | Page: 447-461.,Journal of the American Academy of Dermatology,1993,1993,29,3,447-461.,"Department of Medicine, University of Connecticut Health Center, Farmington 06030.","Department of Medicine, University of Connecticut Health Center, Farmington 06030.",PSORIASIS(ICPC-S91|ICD-L40),,"The role of dietary manipulation and vitamins in the prevention and treatment of certain skin diseases is reviewed. Manipulation of nutrition by either diet restriction or supplementation can effect cutaneous disorders such as skin cancer, wound healing, atopic dermatitis, psoriasis, and dermatitis herpetiformis.",,unavailable,,53,0,https://ayushportal.nic.in/,https://ayushportal.nic.in/ShowDefault.aspx?IDD=2025,2026-09-15T08:44:17.733116+00:00,valid
2026,,,DIET IN DERMATOLOGY: REVISITED,Sowmya Kaimal and Devinder Mohan Thappa,"Indian Journal of Dermatology, Venereology and Leprology | Year: 2010 | Volume: 76 | Issue: 2 | Page: 103-115","Indian Journal of Dermatology, Venereology and Leprology",2010,2010,76,2,103-115,"Department of Dermatology and STD, Jawaharlal Institute of Postgraduate Medical Education and Research (JIPMER), Pondicherry - 605 006, India","Devinder Mohan Thappa Department of Dermatology and STD, JIPMER, Pondicherry - 605 006, India",PSORIASIS(ICPC-S91|ICD-L40),"Diet, dermatology, nutrition","Diet has an important role to play in many skin disorders, and dermatologists are frequently faced with the difficulty of separating myth from fact when it comes to dietary advice for their patients. Patients in India are often anxious about what foods to consume, and what to avoid, in the hope that, no matter how impractical or difficult this may be, following this dictum will cure their disease. There are certain disorders where one or more components in food are central to the pathogenesis, e.g. dermatitis herpetiformis, wherein dietary restrictions constitute the cornerstone of treatment. A brief list, although not comprehensive, of other disorders where diet may have a role to play includes atopic dermatitis, acne vulgaris, psoriasis vulgaris, pemphigus, urticaria, pruritus, allergic contact dermatitis, fish odor syndrome, toxic oil syndrome, fixed drug eruption, genetic and metabolic disorders (phenylketonuria, tyrosinemia, homocystinuria, galactosemia, Refsum's disease, G6PD deficiency, xanthomas, gout and porphyria), nutritional deficiency disorders (kwashiorkar, marasmus, phrynoderma, pellagra, scurvy, acrodermatitis enteropathica, carotenemia and lycopenemia) and miscellaneous disorders such as vitiligo, aphthous ulcers, cutaneous vasculitis and telogen effluvium. From a practical point of view, it will be useful for the dermatologist to keep some dietary information handy to deal with the occasional patient who does not seem to respond in spite of the best, scientific and evidence-based therapy.",http://www.ijdvl.com/text.asp?2010/76/2/103/60540,pending,,65,14,https://ayushportal.nic.in/,https://ayushportal.nic.in/ShowDefault.aspx?IDD=2026,2026-09-15T08:44:18.313157+00:00,valid
2028,,,CLINICAL AND HISTOPATHOLOGICAL EVALUATION OF THE EFFECT OF WRIGHTIA TINCTORIA FORMULATION (REGSOR) ON PSORIASIS VULGARIS,"NB Baktha Reddy, MD, et al.",U S Dermatology Review | Year: 2007 | Volume: | Issue: | Page: 6 - 8.,U S Dermatology Review,2007,2007,,,6 - 8.,"Praveena Hospitals, Kelambakkem, Chennai, Tamil Nadu, India","Praveena Hospitals, Kelambakkem, Chennai, Tamil Nadu, India",,"Histopathological Evaluation, Wrightia Tinctoria, Psoriasis Vulgaris","The herbal formula containing W. tinctoria evaluated in this study for the management of psoriasis in psoriasis vulgaris patients was found to be safe and non-toxic to the liver, kidneys, and hemopoietic system. Clinically, scaling and erythema subsided in both treatment groups. Histologically, significant reversal of parakeratosis, Munro’s microabscess, and acanthosis was observed in both groups. As regards dermal vessel tortuosity, significant normalization of the dermal vessels and reduction of dermal infiltrate was seen with the herbal treatment (p=0.001) compared with the control group (p=0.087), suggesting superior efficacy with the herbal formula. Likewise, significant formation of the granular layer and disappearance of spongiform pustules was observed with the herbal treatment compared with the control group, suggesting superior efficacy with the herbal formula. Absence of side effects, affordability, and the effectiveness of the herbal formula will provide an attractive alternative therapy for the management of psoriasis.",http://www.touchbriefings.com/pdf/2960/reddy.pdf,pending,,41,3,https://ayushportal.nic.in/,https://ayushportal.nic.in/ShowDefault.aspx?IDD=2028,2026-09-15T08:44:19.044161+00:00,valid
2033,,,"MANAGEMENT OF PSORIASIS WITH ALOE VERA EXTRACT IN A HYDROPHILIC CREAM: A PLACEBO-CONTROLLED, DOUBLE-BLIND STUDY","Tanweer A. Syed1, S. Ashfaq Ahmad2, Albert H. Holt3, Seyed Ali Ahmad4, Seyed Hamzeh Ahmad4 and Mohammad Afzal5",Tropical Medicine and International Health | Year: 1996 | Volume: 1 | Issue: 4 | Page: 505–509,Tropical Medicine and International Health,1996,1996,1,4,505–509,"1 Department of Clinical Physiology, Malmo University Hospital, Malmo, Sweden 2 Department of Chemistry, University of the Punjab, Lahore, Pakistan 3 American Social Health Association, Research Triangle Park, North Carolina, USA 4 Medical Faculty, University of the Punjab, Lahore, Pakistan 5 PR Hospital, University of the Punjab, Lahore, Pakistan","Dr Tanweer A. Syed, The University of North Carolina at Chapel Hill, CB 7030, 547 Burnett-Womack Bldg, Chapel Hill, NC 27599–7030, USA","SKIN DISEASE OTHER(ICPC-S99|ICD-L10, L11, L12, L13, L14, L26, L28, L30.2, L30.5, L41, L43, L44, L45, L51, L52, L53.0, L53.1, L53.2, L53.3, L53.8, L54, L60.2, L60.3, L60.8, L71, L72.0, L72.2, L72.8, L72.9, L73.0, L73.1, L73.8, L73.9, L80, L81.4, L81.5, L81.6, L81.7, L81.8, L81.9, L82, L8)","psoriasis, Aloe vera, herbal extracts, pharmaceutical creams","The purpose of this double-blind, placebo-controlled study was to evaluate the clinical efficacy and tolerability of topical Aloe vera extract 0.5 % in a hydrophilic cream to cure patients with psoriasis vulgaris. Sixty patients (36M/24F) aged 18–50 years (mean 25.6) with slight to moderate chronic plaque-type psoriasis and PASI (Psoriasis Area and Severity Index) scores between 4.8 and 16.7 (mean 9.3) were enrolled and randomized to two parallel groups. The mean duration of the disease prior to enrolment was 8.5 years (range 1–21). Patients were provided with a precoded 100 g tube, placebo or active (with 0.5% Aloe vera extract), and they self-administered trial medication topically (without occlusion) at home 3 times daily for 5 consecutive days per week (maximum 4 weeks active treatment). Patients were examined on a weekly basis and those showing a progressive reduction of lesions, desquamation followed by decreased erythema, infiltration and lowered PASI score were considered healed. The study was scheduled for 16 weeks with 12 months of follow-up on a monthly basis. The treatment was well tolerated by all the patients, with no adverse drug-related symptoms and no dropouts. By the end of the study, the Aloe vera extract cream had cured 25/30 patients (83.3 %) compared to the placebo cure rate of 2/30 (6.6 %) (P<0.001) resulting in significant clearing of the psoriatic plaques (328/396 (82.8 %) vs placebo 28/366 (7.7 %), P<0.001) and a decreased PASI score to a mean of 2.2. The findings of this study suggest that topically applied Aloe vera extract 0.5 % in a hydrophilic cream is more effective than placebo, and has not shown toxic or any other objective side-effects. Therefore, the regimen can be considered a safe and alternative treatment to cure patients suffering from psoriasis.",http://www.chiroonline.net/_fileCabinet/aloeveracream.pdf,pending,,299,56,https://ayushportal.nic.in/,https://ayushportal.nic.in/ShowDefault.aspx?IDD=2033,2026-09-15T08:44:22.301676+00:00,valid
2036,Ayurveda,,EFFECT OF NIMBIDIN IN PSORIASIS - A CASE REPORT,"Rajasekharan S, Pillai N. G. K. P, Kurup P. B, Pillai K. G. B Nair C.P.R.",Journal of Research in Ayurveda and Siddha | Year: 1980 | Volume: 1 | Issue: 1 | Page: 52 - 58.,Journal of Research in Ayurveda and Siddha,1980,1980,1,1,52 - 58.,"Regional Research Institute, Trivandrum","Regional Research Institute, Trivandrum",PSORIASIS(ICPC-S91|ICD-L40),,"A male aged 60 years, having psoriatic lesions of 13 years duration with no family history of skin diseases was taken for the clinical trial. 72 days treatment was given with nimbidin. This has provided encouraging response. Though a single case cannot be considered as sufficient to draw viable data, Yet it can be taken up as showing a lead of therapeutic usefulness of the drug Nimbidin.",,unavailable,,146,33,https://ayushportal.nic.in/,https://ayushportal.nic.in/ShowDefault.aspx?IDD=2036,2026-09-15T08:44:23.655532+00:00,valid
2035,,,"A DOUBLE-BLIND, PLACEBO-CONTROLLED STUDY OF A COMMERCIAL ALOE VERA GEL IN THE TREATMENT OF SLIGHT TO MODERATE PSORIASIS VULGARIS","E Paulsen1, L Korsholm2, F Brandrup1",Journal of the European Academy of Dermatology and Venereology | Year: 2005 | Volume: 19 | Issue: 3 | Page: 326–331,Journal of the European Academy of Dermatology and Venereology,2005,2005,19,3,326–331,"1Department of Dermatology, Odense University Hospital, DK-5000 Odense C, Denmark 2Department of Statistics, University of Southern Denmark, DK-5230 Odense M, Denmark","Evy Paulsen, Department of Dermatology, Odense University Hospital, DK-5000 Odense C, Denmark, tel. 0045 65412705; fax 0045 66123819; E-mail: evy.paulsen@ouh.fyns-amt.dk",PSORIASIS(ICPC-S91|ICD-L40),"Aloe barbadensis Miller , Aloe vera leaf gel , placebo-controlled , psoriasis","Background The Aloe vera plant has been used for an array of ailments, including skin diseases. Recent experimental research have substantiated the presence of biologically active compounds in the gel, but there are few controlled, clinical trials to assess the efficacy. Objective To test the effect of a commercial, preserved, but otherwise untreated Aloe vera gel in psoriasis. Patients/methods Forty-one patients with stable plaque psoriasis were included in a randomized, double-blind, placebo-controlled right/left comparison. The study comprised a 2-week wash-out period followed by a 4-week treatment period with two daily applications and follow-up visits after 1 and 2 months. Results Data on 40 patients were analyzed. The score sum of erythema, infiltration and desquamation decreased in 72.5 % of the Aloe vera-treated sites compared with 82.5 % of the placebo-treated areas from week 0 to week 4, which was statistically significant in favour of the placebo treatment (P = 0.0197). Fifty-five per cent of the patients reported local side-effects, mainly drying up of the skin on test areas. Conclusions The effect of this commercial Aloe vera gel on stable plaque psoriasis was modest and not better than placebo. However, the high response rate of placebo indicated a possible effect of this in its own right, which would make the Aloe vera gel treatment appear less effective.",,unavailable,,297,0,https://ayushportal.nic.in/,https://ayushportal.nic.in/ShowDefault.aspx?IDD=2035,2026-09-15T08:44:24.112098+00:00,valid
2037,Ayurveda,,"EVALUATION OF THE EFFECT OF SVETA PARPATI, PASANABHEDA, GOKSURU AND KULATHA - AN AYURVEDIC COMPOUND IN THE MANAGEMENT OF MUTRASMARI (UROLITHIASIS)","1. Anil Kumar, 2. Naresh Kumar.",Journal of Research in Ayurveda and Siddha | Year: 2002 | Volume: 23 | Issue: 3-4 | Page: 12-21,Journal of Research in Ayurveda and Siddha,2002,2002,23,3-4,12-21,"1. Asst. Research Officer, (Ay.), 2. Asst. Research Officer, Regional Research Institute for Ayurveda, Rehari Chowk, Jammu 180 005 (J and K).",,"URINARY CALCULUS(ICPC-U95|ICD-N20, N21, N22)","Urolithiasis, Mutrasmari, Sveta parpati, Pashanabheda,","The present study was undertaken to evaluate the therapeutic efficacy of Sveta Parpati, (mineral compound) Pasanabheda, Goksuru and Kulatha (a herbal compound) in the management of Mutrasmari (urolithiasis). This drug combination was a step advance from the previous regimens already evaluated for this disease condition and the study was undertaken in a comparatively larger group of 106 radiologically established patients of Mutrasmari. Out of total 106 patients, 47 were having Vrikkasmari (renal calculus) and 59 were having Gaviniasmari (ureteric calculus). Statistically highly significant (p<0.001) effect of the drug combination on different presenting cardinal symptoms of the disease, improvement in pathology of urine, decreased E.S.R. and radiological evidence of removal of calculus after the course of treatment as observed in the patients under the study, prove the better efficacy of this drug combination than the previous regimens already evaluated for the management of this disease condition Mutrasmari (urolithiasis).",,unavailable,,819,0,https://ayushportal.nic.in/,https://ayushportal.nic.in/ShowDefault.aspx?IDD=2037,2026-09-15T08:44:24.866416+00:00,valid
2038,,,"REVERSAL OF PARAKERATOSIS, A FEATURE OF PSORIASIS BY WRIGHTIA TINCTORIA (IN EMULSION) - HISTOLOGICAL EVALUATION BASED ON MOUSE TAIL TEST","S K Mitra, S J Seshadri, M V Venkataranganna, S Gopumadhavan",Indian Journal of Dermatology | Year: 1998 | Volume: 43 | Issue: 3 | Page: 102 -104,Indian Journal of Dermatology,1998,1998,43,3,102 -104,"R&D Centre, The Himalaya Drug Co., Makali, Bangalore 562 123.","Dr. S. K. Mitra. R&D Centre, The Himalaya Drug Co., Makali, Bnngalore 562 123.",PSORIASIS(ICPC-S91|ICD-L40),"Wrightia tinctoria, Psoriasis, Orthokeratosis, Parakeratosis","An experimental histological evaluation on reversal of parakeratosis to orthokeratosis based on mouse tail test, was conducted. Wrightia tinctoria (in emulsion) when applied to mouse tail, showed nearly 90 % reversal of parakeratosis to orthokeratosis, when compared with treatments using retinoids and betamethasone.",http://www.e-ijd.org/downloadpdf.asp?issn=0019-5154;year=1998;volume=43;issue=3;spage=102;epage=104;aulast=Mitra;type=2,pending,,75,12,https://ayushportal.nic.in/,https://ayushportal.nic.in/ShowDefault.aspx?IDD=2038,2026-09-15T08:44:25.274672+00:00,valid
